RCL,iteraciones,tct,tiempo / segundos,
2,10,6631,0.002793,
2,100,6631,0.002577,
2,1000,6631,0.002537,
2,10000,6631,0.002543,
3,10,6631,0.002593,
3,100,6631,0.004076,
3,1000,6631,0.002617,
3,10000,6631,0.002598,
4,10,6631,0.002526,
4,100,6631,0.001847,
4,1000,6631,0.001852,
4,10000,6631,0.001461,
5,10,6631,0.001436,
5,100,6631,0.001432,
5,1000,6631,0.001213,
5,10000,6631,0.001149,
6,10,6631,0.001170,
6,100,6631,0.001191,
6,1000,6631,0.000977,
6,10000,6631,0.001019,
7,10,6631,0.001016,
7,100,6631,0.000989,
7,1000,6631,0.000959,
7,10000,6631,0.000983,
8,10,6631,0.000942,
8,100,6631,0.000930,
8,1000,6631,0.000932,
8,10000,6631,0.000933,
9,10,6631,0.000944,
9,100,6631,0.000947,
9,1000,6631,0.000944,
9,10000,6631,0.000949,
